Date Reported As Of,PID,Project Name,Description,Category,Borough,Managing Agency,Client Agency,Current Phase,Design Start,Budget Forecast,Latest Budget Changes,Total Budget Changes,Forecast Completion,Latest Schedule Changes,Total Schedule Changes
05/01/2014 12:00:00 AM,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Design,09/23/2013,182980960,-1915400,-4318643.37,01/14/2020,1,270
02/01/2015 12:00:00 AM,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction Procurement,09/23/2013,168751769,-14229191,-4318643.37,07/19/2020,187,270
08/01/2015 12:00:00 AM,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction Procurement,09/23/2013,165532447,-3219322,-4318643.37,08/08/2020,20,270
01/01/2016 12:00:00 AM,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction,09/23/2013,169276391,3743944,-4318643.37,04/01/2020,-129,270
06/01/2016 12:00:00 AM,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction,09/23/2013,169276392.71,2,-4318643.37,04/13/2020,12,270
11/01/2016 12:00:00 AM,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction,09/23/2013,169674705.9,398313,-4318643.37,09/17/2020,157,270
04/01/2017 12:00:00 AM,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction,09/23/2013,174177416.07,4502710,-4318643.37,11/30/2020,74,270
09/01/2017 12:00:00 AM,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction,09/23/2013,175128409.68,950994,-4318643.37,04/28/2020,-216,270
03/01/2018 12:00:00 AM,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction,09/23/2013,175159424.38,31015,-4318643.37,04/01/2020,-27,270
08/01/2018 12:00:00 AM,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction,09/23/2013,177074011.4,1914587,-4318643.37,07/28/2020,118,270
01/01/2019 12:00:00 AM,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction,09/23/2013,185099718.62,8025707,-4318643.37,08/28/2020,31,270
05/01/2019 12:00:00 AM,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction,09/23/2013,185242696.69,142978,-4318643.37,10/09/2020,42,270
09/01/2019 12:00:00 AM,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction,09/23/2013,180577716.63,-4664980,-4318643.37,10/09/2020,0,270
09/01/2013 12:00:00 AM,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Design,05/01/2013,53493000,,15305457,03/31/2018,,685
01/01/2014 12:00:00 AM,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Design,05/01/2013,58018000,4525000,15305457,03/31/2018,0,685
05/01/2014 12:00:00 AM,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Design,05/01/2013,53726722,-4291278,15305457,03/31/2018,0,685
02/01/2015 12:00:00 AM,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction Procurement,05/01/2013,52668403,-1058319,15305457,04/01/2018,1,685
08/01/2015 12:00:00 AM,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction Procurement,05/01/2013,63980485,11312082,15305457,01/28/2018,-63,685
01/01/2016 12:00:00 AM,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction,05/01/2013,63111785.3,-868700,15305457,02/28/2019,396,685
