,Date Reported As Of,PID,Project Name,Description,Category,Borough,Managing Agency,Client Agency,Current Phase,Design Start,Budget Forecast,Latest Budget Changes,Total Budget Changes,Forecast Completion,Latest Schedule Changes,Total Schedule Changes,Original Budget,Original Completion,Original Expected Duration,Latest Budget Changes (Scaled to Original),Total Budget Changes (Scaled to Original),Latest Schedule Changes (Scaled to Original),Total Schedule Changes (Scaled to Original),Total Frequency of Budget Changes,Total Frequency of Schedule Changes,Cumulative Budget Changes ($),Cumulative Schedule Changes (days),Budget_Change_Boolean,Schedule_Change_Boolean,Cumulative Budget Changes (no. of times),Cumulative Schedule Changes (no. of times)
12,2014-05-01,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Design,2013-09-23,182980960.0,-1915400.0,-4318643.37,2020-01-14,1.0,270.0,184896360.0,2020-01-13,2303.0,-0.010359316970869519,-0.023357103244217463,0.0004342162396873643,0.11723838471558837,13.0,12.0,-1915400.0,1.0,1.0,1.0,1.0,1.0
11,2015-02-01,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction Procurement,2013-09-23,168751769.0,-14229191.0,-4318643.37,2020-07-19,187.0,270.0,184896360.0,2020-01-13,2303.0,-0.07695765887440943,-0.023357103244217463,0.08119843682153713,0.11723838471558837,13.0,12.0,-16144591.0,188.0,1.0,1.0,2.0,2.0
10,2015-08-01,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction Procurement,2013-09-23,165532447.0,-3219322.0,-4318643.37,2020-08-08,20.0,270.0,184896360.0,2020-01-13,2303.0,-0.01741149474224371,-0.023357103244217463,0.008684324793747287,0.11723838471558837,13.0,12.0,-19363913.0,208.0,1.0,1.0,3.0,3.0
9,2016-01-01,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction,2013-09-23,169276391.0,3743944.0,-4318643.37,2020-04-01,-129.0,270.0,184896360.0,2020-01-13,2303.0,0.02024887888544696,-0.023357103244217463,-0.056013894919669995,0.11723838471558837,13.0,12.0,-15619969.0,79.0,1.0,1.0,4.0,4.0
8,2016-06-01,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction,2013-09-23,169276392.71,2.0,-4318643.37,2020-04-13,12.0,270.0,184896360.0,2020-01-13,2303.0,1.0816870597128034e-08,-0.023357103244217463,0.005210594876248371,0.11723838471558837,13.0,12.0,-15619967.0,91.0,1.0,1.0,5.0,5.0
7,2016-11-01,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction,2013-09-23,169674705.9,398313.0,-4318643.37,2020-09-17,157.0,270.0,184896360.0,2020-01-13,2303.0,0.0021542500890769293,-0.023357103244217463,0.06817194963091619,0.11723838471558837,13.0,12.0,-15221654.0,248.0,1.0,1.0,6.0,6.0
6,2017-04-01,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction,2013-09-23,174177416.07,4502710.0,-4318643.37,2020-11-30,74.0,270.0,184896360.0,2020-01-13,2303.0,0.024352615703197186,-0.023357103244217463,0.03213200173686496,0.11723838471558837,13.0,12.0,-10718944.0,322.0,1.0,1.0,7.0,7.0
5,2017-09-01,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction,2013-09-23,175128409.68,950994.0,-4318643.37,2020-04-28,-216.0,270.0,184896360.0,2020-01-13,2303.0,0.005143389518322589,-0.023357103244217463,-0.09379070777247069,0.11723838471558837,13.0,12.0,-9767950.0,106.0,1.0,1.0,8.0,8.0
4,2018-03-01,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction,2013-09-23,175159424.38,31015.0,-4318643.37,2020-04-01,-27.0,270.0,184896360.0,2020-01-13,2303.0,0.00016774262078496298,-0.023357103244217463,-0.011723838471558836,0.11723838471558837,13.0,12.0,-9736935.0,79.0,1.0,1.0,9.0,9.0
3,2018-08-01,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction,2013-09-23,177074011.4,1914587.0,-4318643.37,2020-07-28,118.0,270.0,184896360.0,2020-01-13,2303.0,0.010354919912971786,-0.023357103244217463,0.05123751628310899,0.11723838471558837,13.0,12.0,-7822348.0,197.0,1.0,1.0,10.0,10.0
