,Date Reported As Of,PID,Project Name,Description,Category,Borough,Managing Agency,Client Agency,Current Phase,Design Start,Budget Forecast,Latest Budget Changes,Total Budget Changes,Forecast Completion,Latest Schedule Changes,Total Schedule Changes,Original Budget,Original Completion,Original Expected Duration,Latest Budget Changes (Scaled to Original),Total Budget Changes (Scaled to Original),Latest Schedule Changes (Scaled to Original),Total Schedule Changes (Scaled to Original),Total Frequency of Budget Changes,Total Frequency of Schedule Changes,Cumulative Budget Changes ($),Cumulative Schedule Changes (days),Budget_Change_Boolean,Schedule_Change_Boolean,Cumulative Budget Changes (no. of times),Cumulative Schedule Changes (no. of times),Latest_Report,Earliest_Report
0,2019-09-01,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction,2013-09-23,180577716.63,-4664980.0,-4318643.37,2020-10-09,0.0,270.0,184896360.0,2020-01-13,2303.0,-0.025230242499095168,-0.023357103244217463,0.0,0.11723838471558837,13.0,12.0,-4318643.0,270.0,1.0,0.0,13.0,12.0,2019-09-01,2014-05-01
13,2019-09-01,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction,2013-05-01,68798457.0,1065884.0,15305457.0,2020-02-14,88.0,685.0,53493000.0,2018-03-31,1795.0,0.019925672517899538,0.28612074477034377,0.04902506963788301,0.3816155988857939,14.0,12.0,15305457.0,685.0,1.0,1.0,14.0,12.0,2019-09-01,2013-09-01
28,2019-09-01,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,2003-08-22,67871610.02,-1399611.0,1255175.02,2020-03-10,91.0,1014.0,66616434.99999999,2017-05-31,5031.0,-0.02100999550636416,0.0188418221419384,0.01808785529715762,0.20155038759689922,13.0,8.0,1255174.0,1014.0,1.0,1.0,13.0,8.0,2019-09-01,2013-09-01
43,2019-09-01,25,Gowanus Facilities Upgrade,"This project will rehabilite the existing Flushing Tunnel, reconstruct and upgrade the Gowanus pumping station and install a temporary oxygenation system to increase the dissolved oxygen levels of the canal.",Wastewater Treatment,Brooklyn,DEP,DEP,Construction,2001-12-21,223367168.11,33910.0,25233101.11,2019-12-31,0.0,1974.0,198134067.0,2014-08-05,4610.0,0.00017114674176652318,0.12735367265236625,0.0,0.42819956616052063,14.0,10.0,25233102.0,1974.0,1.0,0.0,14.0,10.0,2019-09-01,2013-09-01
58,2019-09-01,34,Jamaica Waste Water Treatment Plant Upgrades,This project consists of work for the replacement of deteriorated plant elements as well as upgrading of treatment capacity for the implementation of the Biological Nutrient Removal.,Wastewater Treatment,Queens,DEP,DEP,Construction,1996-05-01,449158267.89,23238.0,-14632471.11,2019-12-31,184.0,2009.0,463790739.0,2014-07-01,6635.0,5.010449335427545e-05,-0.03154972680470017,0.02773172569706104,0.30278824415975886,14.0,14.0,-14632472.0,2009.0,1.0,1.0,14.0,14.0,2019-09-01,2013-09-01
73,2019-09-01,53,New York Harbor Siphon Construction,This project will replace two existing water mains that cross the New York Harbor Siphon channel between Brooklyn and Staten Island with one deeper main to allow deepening of the channel to accommodate larger ships.,Water Supply,Staten Island,EDC,DEP,Construction,2005-09-18,285751622.18,4645596.0,42102695.39,2019-12-31,0.0,1371.0,243648926.79000002,2016-03-30,3846.0,0.019066761595071664,0.1728006601329631,0.0,0.35647425897035884,13.0,12.0,42102696.0,1371.0,1.0,0.0,13.0,12.0,2019-09-01,2013-09-01
88,2019-09-01,58,East River Waterfront Esplanade Construction,"Design and construction of a 1.5 mile esplanade on the East River, from the Battery Maritime Building to Pier 35, including a new double level pier structure, esplanade improvements and commercial pavilions.",Parks,Manhattan,EDC,"DEP, DOT, EDC",Construction,2006-11-13,172547150.97,0.0,21200912.97,2020-04-30,0.0,1947.0,151346238.0,2014-12-31,2970.0,0.0,0.14008219332151486,0.0,0.6555555555555556,11.0,10.0,21200914.0,1947.0,0.0,0.0,11.0,10.0,2019-09-01,2013-09-01
103,2019-09-01,91,Mill Basin Bridge Replacement,,Bridges,Brooklyn,DOT,,,2012-03-25,342172010.0,0.0,-32573257.0,2021-01-24,0.0,367.0,374745267.0,2020-01-23,2860.0,0.0,-0.08692106310177895,0.0,0.12832167832167832,13.0,12.0,-32573257.0,367.0,0.0,0.0,13.0,12.0,2019-09-01,2013-09-01
118,2019-09-01,92,Paerdegat Basin Bridge Replacement,,Bridges,Brooklyn,DOT,,,2004-06-30,245535328.0,0.0,-24816065.0,2019-12-31,0.0,1894.0,270351393.0,2014-10-24,3768.0,0.0,-0.09179188878823347,0.0,0.5026539278131635,10.0,10.0,-24816065.0,1894.0,0.0,0.0,10.0,10.0,2019-09-01,2013-09-01
133,2019-09-01,94,New Ferry Boat Construction,,Ferries,,DOT,,,2014-09-15,349869872.0,0.0,89246502.0,2021-08-06,0.0,37.0,260623370.0,2021-06-30,2480.0,0.0,0.3424347632370804,0.0,0.014919354838709677,11.0,7.0,89246503.0,37.0,0.0,0.0,11.0,7.0,2019-09-01,2015-02-01
145,2019-09-01,96,Gerritsen Inlet Bridge Replacement,,Bridges,Brooklyn,DOT,,,1993-08-02,150866426.0,0.0,29077872.04,2019-12-31,0.0,847.0,121788553.96000001,2017-09-05,8800.0,0.0,0.23875701857458853,0.0,0.09625,12.0,10.0,29077872.0,847.0,0.0,0.0,12.0,10.0,2019-09-01,2013-09-01
160,2019-09-01,97,Bruckner Expressway Westchester Creek Bridge Reconstruction,,"Bridges, Streets and Roadways",Bronx,DOT,,,2012-07-23,288898080.0,0.0,137122583.0,2021-06-30,0.0,588.0,151775497.0,2019-11-20,2676.0,0.0,0.9034566561162373,0.0,0.21973094170403587,12.0,7.0,137122583.0,588.0,0.0,0.0,12.0,7.0,2019-09-01,2013-09-01
174,2019-09-01,98,Fresh Creek Bridge Replacement,,Bridges,Brooklyn,DOT,,,2004-06-30,152563865.0,0.0,3138442.0,2019-12-31,0.0,1894.0,149425423.0,2014-10-24,3768.0,0.0,0.021003400472220848,0.0,0.5026539278131635,10.0,11.0,3138442.0,1894.0,0.0,0.0,10.0,11.0,2019-09-01,2013-09-01
189,2019-09-01,101,Roosevelt Avenue Bridge Superstructure and Substructure Repairs,,Bridges,Queens,DOT,,,2003-03-10,114154298.0,0.0,-9229702.0,2020-08-28,0.0,929.0,123384000.0,2018-02-11,5452.0,0.0,-0.07480469104584063,0.0,0.17039618488628028,13.0,9.0,-9229702.0,929.0,0.0,0.0,13.0,9.0,2019-09-01,2013-09-01
204,2019-09-01,106,Broadway Bridge over Harlem River Replacement,,Bridges,"Bronx, Manhattan",DOT,,,2005-04-01,190133979.0,0.0,80897979.0,2022-03-25,0.0,963.0,109236000.0,2019-08-05,5239.0,0.0,0.7405798363176974,0.0,0.18381370490551632,13.0,7.0,80897979.0,963.0,0.0,0.0,13.0,7.0,2019-09-01,2013-09-01
219,2019-09-01,108,Rockaway Parkway Bridge Replacement,,Bridges,Brooklyn,DOT,,,2004-06-30,81959037.0,0.0,-267376.0,2019-12-31,0.0,1894.0,82226413.0,2014-10-24,3768.0,0.0,-0.003251704534405508,0.0,0.5026539278131635,13.0,9.0,-267376.0,1894.0,0.0,0.0,13.0,9.0,2019-09-01,2013-09-01
234,2019-09-01,111,Henry Hudson Parkway Viaduct Reconstruction (West 72nd to 82nd Streets),,"Bridges, Streets and Roadways",Manhattan,DOT,,,2011-08-02,104519250.0,0.0,67027250.0,2020-06-28,0.0,1027.0,37492000.0,2017-09-05,2226.0,0.0,1.7877747252747254,0.0,0.4613656783468104,13.0,8.0,67027249.0,1027.0,0.0,0.0,13.0,8.0,2019-09-01,2013-09-01
249,2019-09-01,112,Westchester Avenue Bridge over Hutch River Parkway Rehabilitation,,"Bridges, Streets and Roadways",Bronx,DOT,,,1995-01-17,82693222.0,0.0,24434222.0,2021-09-13,0.0,906.0,58259000.0,2019-03-22,8830.0,0.0,0.4194068212636674,0.0,0.10260475651189128,13.0,6.0,24434222.0,906.0,0.0,0.0,13.0,6.0,2019-09-01,2013-09-01
