,Date Reported As Of,PID,Latest Schedule Changes,Latest Schedule Changes (Scaled to Original),Latest Budget Changes,Latest Budget Changes (Scaled to Original)
0,2014-05-01,3,1.0,0.0004342162396873643,-1915400.0,-0.010359316970869519
1,2014-06-01,3,0.0,0.0,0.0,0.0
2,2014-07-01,3,0.0,0.0,0.0,0.0
3,2014-08-01,3,0.0,0.0,0.0,0.0
4,2014-09-01,3,0.0,0.0,0.0,0.0
5,2014-10-01,3,0.0,0.0,0.0,0.0
6,2014-11-01,3,0.0,0.0,0.0,0.0
7,2014-12-01,3,0.0,0.0,0.0,0.0
8,2015-01-01,3,0.0,0.0,0.0,0.0
9,2015-02-01,3,187.0,0.08119843682153713,-14229191.0,-0.07695765887440943
10,2015-03-01,3,0.0,0.0,0.0,0.0
11,2015-04-01,3,0.0,0.0,0.0,0.0
12,2015-05-01,3,0.0,0.0,0.0,0.0
13,2015-06-01,3,0.0,0.0,0.0,0.0
14,2015-07-01,3,0.0,0.0,0.0,0.0
15,2015-08-01,3,20.0,0.008684324793747287,-3219322.0,-0.01741149474224371
16,2015-09-01,3,0.0,0.0,0.0,0.0
17,2015-10-01,3,0.0,0.0,0.0,0.0
18,2015-11-01,3,0.0,0.0,0.0,0.0
19,2015-12-01,3,0.0,0.0,0.0,0.0
20,2016-01-01,3,-129.0,-0.056013894919669995,3743944.0,0.02024887888544696
21,2016-02-01,3,0.0,0.0,0.0,0.0
22,2016-03-01,3,0.0,0.0,0.0,0.0
23,2016-04-01,3,0.0,0.0,0.0,0.0
24,2016-05-01,3,0.0,0.0,0.0,0.0
25,2016-06-01,3,12.0,0.005210594876248371,2.0,1.0816870597128034e-08
26,2016-07-01,3,0.0,0.0,0.0,0.0
27,2016-08-01,3,0.0,0.0,0.0,0.0
28,2016-09-01,3,0.0,0.0,0.0,0.0
29,2016-10-01,3,0.0,0.0,0.0,0.0
30,2016-11-01,3,157.0,0.06817194963091619,398313.0,0.0021542500890769293
31,2016-12-01,3,0.0,0.0,0.0,0.0
32,2017-01-01,3,0.0,0.0,0.0,0.0
33,2017-02-01,3,0.0,0.0,0.0,0.0
34,2017-03-01,3,0.0,0.0,0.0,0.0
35,2017-04-01,3,74.0,0.03213200173686496,4502710.0,0.024352615703197186
36,2017-05-01,3,0.0,0.0,0.0,0.0
37,2017-06-01,3,0.0,0.0,0.0,0.0
38,2017-07-01,3,0.0,0.0,0.0,0.0
39,2017-08-01,3,0.0,0.0,0.0,0.0
40,2017-09-01,3,-216.0,-0.09379070777247069,950994.0,0.005143389518322589
41,2017-10-01,3,0.0,0.0,0.0,0.0
42,2017-11-01,3,0.0,0.0,0.0,0.0
43,2017-12-01,3,0.0,0.0,0.0,0.0
44,2018-01-01,3,0.0,0.0,0.0,0.0
45,2018-02-01,3,0.0,0.0,0.0,0.0
46,2018-03-01,3,-27.0,-0.011723838471558836,31015.0,0.00016774262078496298
47,2018-04-01,3,0.0,0.0,0.0,0.0
48,2018-05-01,3,0.0,0.0,0.0,0.0
49,2018-06-01,3,0.0,0.0,0.0,0.0
50,2018-07-01,3,0.0,0.0,0.0,0.0
51,2018-08-01,3,118.0,0.05123751628310899,1914587.0,0.010354919912971786
52,2018-09-01,3,0.0,0.0,0.0,0.0
53,2018-10-01,3,0.0,0.0,0.0,0.0
54,2018-11-01,3,0.0,0.0,0.0,0.0
55,2018-12-01,3,0.0,0.0,0.0,0.0
56,2019-01-01,3,31.0,0.013460703430308293,8025707.0,0.04340651703473232
